,in,in,1,in,in,in,lb,lbf,lbf,lbf,lbf,lbf,%,in,lbf,lbf
ICI Flex-1600-2000S,16,20,10,20.9,20.000,16.21,30.0,2600,0,0,1300,3510,83,0,0,0
UR Flex-1600-2000TUR,16,20,8,21.0,20.000,16.26,27.0,0,0,0,0,1350,68,17.5,4309,1503
UR Flex-1600-2000UROS,16,20,6,23.0,20.000,16.26,20.1,0,0,0,0,1600,72,17.5,2101,800
ICI Flex-1858-2112S,18 5/8,21 1/2,12,19.1,21.500,18.90,32.6,3500,0,0,1750,2545,75,0,0,0
ICI Flex-1858-2200S,18 5/8,22,12,19.0,22.000,18.90,32.6,3500,0,0,1750,4200,85,0,0,0
ICI Flex-1858-2300S,18 5/8,23,12,18.7,23.000,18.90,32.8,3500,0,0,1750,5370,89,0,0,0
ICI Flex-1858-2400S,18 5/8,24,12,20.6,24.000,18.90,35.1,3500,0,0,1750,3780,80,0,0,0
ICI Flex-1870-2400S,18.701,24,12,20.6,24.000,18.95,22.0,1750,0,0,1750,4300,83,0,0,0
ICI Flex-2000-2400S,20,24,12,24.0,24.000,20.30,41.0,3760,0,0,1880,2650,76,0,0,0
ICI Flex-2000-2600S,20,26,12,22.8,26.000,20.30,40.0,3760,0,0,1880,4400,88,0,0,0
