FLUENCIA;;;Kpsi;;40;;55;55;65;80;;80;;90;;95;;95;;110;;125;;80;;95;;110;;140;;80;;95;;95;;110;;;;;;;;;;;
RESISTENCIA;;;Kpsi;;60;;75;95;85;95;;100;;100;;105;;105;;125;;135;;100;;110;;125;;150;;95;;105;;105;;115;;;;;;;;;;;
"TUBO DE REVESTIMIENTO
CASING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D.E.;PESO;;DIMENSIONES;;;;;;;PROPIEDADES MECANICAS;;;;GRADO DE ACERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP.;;"D.I.     DRIFT   DRIFT   AREA
ALT.   TRANS.";;;;;;;;;API;;;;;;;;;;;;;;;;;;;;;;ALTO COLAPSO;;;;;;"RESISTENTE
A LA CORROSION";;;;;;
;pulg;lb/pie;;pulg;;pulg       pulg      pulg      pulg2;;;;;;;;;H40;;J55;;K55;;M65;;L80;;N80;;C90;;C95;;T95;;P110;;Q125;;TAC80;;TAC95   TAC110   TAC140;;;;TRC80;TRC95;TRC95HC;TRC110;;;
;;;;;;;;;;;;;;PPrueba-psi;;;;4900;;4900;;5700;;7100;;7100;;8000;;8400;;8400;;9700;;;;7100;;8400;;9700;10000;7100;8400;8400;9700
;;20.00;;0.361;;4.778;;4.653;;;;5.828;;Colapso-psi;;;;;;;;7540;;8830;;8830;;9630;;10020;;10020;;11100;;;;10130;;11690;;13840;15280;8830;10020;11700;11100
;;;;;;;;;;;;;;Tension-klb;;;;;;;;379;;466;;466;;525;;554;;554;;641;;;;466;;554;;641;816;466;554;554;641
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;7470;;9190;;9190;;10340;;10910;;10910;;12640;;;;9190;;10910;;12640;16080;9190;10910;10910;12640
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;6800;;8400;;8400;;9500;;10000;;10000;;10000;;;;8400;;10000;;10000;10000;8400;10000;10000;10000
;;23.00;;0.415;4.670;;4.545;;;;6.630;;Colapso-psi;;;;;;;;9070;;11160;;11160;;12380;;12930;;12930;;14540;;16060;;11920;;14250;;16330;19000;11160;12930;14250;14540;
;;;;;;;;;;;;;Tension-klb;;;;;;;;431;;530;;530;;597;;630;;630;;729;;829;;530;;630;;729;928;530;630;630;729;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;8580;;10560;;10560;;11880;;12540;;12540;;14530;;16510;;10560;;12540;;14530;18490;10560;12540;12540;14530;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;7800;;9700;;9700;;10000;;10000;;10000;;10000;;10000;;9700;;10000;;10000;10000;10000;10000;10000;10000;
;6 5/8;20.00;;0.288;6.049;;5.924;;;;5.734;;Colapso-psi;;2520;;2970;;2970;;3190;;;;;;;;;;;;;;;;;;;;;;3470;3790;;4030;
;;;;;;;;;;;;;Tension-klb;;229;;315;;315;;373;;;;;;;;;;;;;;;;;;;;;;459;545;;631;
;;;;;;;;;;;;;PInterna-psi;;3040;;4180;;4180;;4940;;;;;;;;;;;;;;;;;;;;;;6090;7230;;8370;
;;;;;;;;;;;;;PPrueba-psi;;2800;;3800;;3800;;4500;;;;;;;;;;;;;;;;;;;;;;5600;6600;;7650;
;;24.00;;0.352;5.921;;5.796;;;;6.937;;Colapso-psi;;;;4560;;4560;;5080;;5760;;5760;;6140;;6310;;6310;;6730;;;;7600;;8480;;9240;10190;5760;6310;8490;6730;
;;;;;;;;;;;;;Tension-klb;;;;382;;382;;451;;555;;555;;624;;659;;659;;763;;;;555;;659;;763;971;555;659;659;763;
;;;;;;;;;;;;;PInterna-psi;;;;5110;;5110;;6040;;7440;;7440;;8370;;8830;;8830;;10230;;;;7440;;8830;;10230;13017;7440;8830;8830;10230;
;;;;;;;;;;;;;PPrueba-psi;;;;4700;;4700;;5500;;6800;;6800;;7700;;8100;;8100;;9400;;;;6800;;8100;;9400;10000;6800;8100;8100;9600;
;;28.00;;0.417;5.791;;5.666;;;;8.133;;Colapso-psi;;;;;;;;7010;;8170;;8170;;8880;;9220;;9220;;10160;;;;9590;;10980;;12850;14230;8170;9220;10990;10160;
;;;;;;;;;;;;;Tension-klb;;;;;;;;529;;651;;651;;732;;773;;773;;895;;;;651;;773;;895;1139;651;773;773;895;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;7160;;8810;;8810;;9910;;10460;;10460;;12120;;;;8810;;10460;;12120;15421;8810;10460;10460;12120;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;6500;;8100;;8100;;9100;;10000;;10000;;10000;;;;8100;;10000;;11080;10000;8100;10000;10000;10000;
;;32.00;;0.475;;5.675;;5.550;;9.177;;;Colapso-psi;;10320   10320   11330   11820   11820   13220   14540;;;;;;;;;;;;;;;;;;;;;;11240;;13250;;15360;17570;10320;11820   13270;13220;;
;;;;;;;;;;;;;Tension-klb;;;;;;;;;;734;;734;;826;;872;;872;;1010;;1147;;734;;872;;1010;1285;734;872        872;1010;;
;;;;;;;;;;;;;PInterna-psi;;10040   10040   11290   11920   11920   13800   15680;;;;;;;;;;;;;;;;;;;;;;10040;;11920;;13800;17570;10040;11920   11920;13800;;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;9200;;9200   10000   10000   10000   10000   10000;;;;;;;;;;;;10000;;10000;;10000;10000;9200;10000   10000;10000;;
;7;17.00;;0.231;;6.538;;6.413;;4.912;;;Colapso-psi;;1420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Tension-klb;;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;PInterna-psi;;2310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;PPrueba-psi;;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;20.00;;0.272;;6.456;;6.331;;5.749;;;Colapso-psi;;1970;;2270;;2270;;2480;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Tension-klb;;230;;316;;316;;374;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;PInterna-psi;;2720;;3740;;3740;;4420;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;PPrueba-psi;;2500;;3400;;3400;;4000;;;;;;;;;;;;;;;;;;;;;;;;;;
;;23.00;;0.317;;6.366;;6.241;;6.250   6.656;;;Colapso-psi;;;;3270;;3270;;3540;;3830;;3830;;4030;;4140;;4140;;;;;;;;;;;;3830;4140     5910;4440;;
;;;;;;;;;;;;;Tension-klb;;;;366;;366;;433;;532;;532;;599;;632;;632;;;;;;;;;;;;532;632        632;732;;
;;;;;;;;;;;;;PInterna-psi;;;;4360;;4360;;5150;;6340;;6340;;7130;;7530;;7530;;;;;;;;;;;;6340;7530     7530;8720;;
;;;;;;;;;;;;;PPrueba-psi;;;;4000;;4000;;4700;;5800;;5800;;6500;;6900;;6900;;;;;;;;;;;;5800;6900     6900;8000;;
;;26.00;;0.362;6.276;;6.151;;;;7.549;;Colapso-psi;;;;4330;;4330;;4810;;5410;;5410;;5740;;5890;;5890;;6230;;;;7260;;8090;;8710;9590;5410;5890;8110;6230;
;;;;;;;;;;;;;Tension-klb;;;;415;;415;;491;;604;;604;;679;;717;;717;;830;;;;604;;717;;830;1057;604;717;717;830;
;;;;;;;;;;;;;PInterna-psi;;;;4980;;4980;;5880;;7240;;7240;;8150;;8600;;8600;;9960;;;;7240;;8600;;9960;12670;7240;8600;8600;9960;
;;;;;;;;;;;;;PPrueba-psi;;;;4600;;4600;;5400;;6600;;6600;;7400;;7900;;7900;;9100;;;;6600;;7900;;9100;10000;6600;7900;7900;9100;
;;29.00;;0.408;6.184;;6.059;;;;8.449;;Colapso-psi;;;;;;;;6100;;7030;;7030;;7580;;7840;;7840;;8530;;;;8690;;9780;;11140;12390;7030;7840;9780;8530;
;;;;;;;;;;;;;Tension-klb;;;;;;;;549;;676;;676;;760;;803;;803;;929;;;;676;;803;;929;1183;676;803;803;929;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;6630;;8160;;8160;;9180;;9690;;9690;;11220;;;;8160;;9690;;11220;14280;8160;9690;9690;11220;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;6100;;7500;;7500;;8400;;8900;;8900;;10000;;;;7500;;8900;;10000;10000;7500;8900;8900;10000;
;;32.00;;0.453;6.094;;5.969;;6.000;;9.317;;Colapso-psi;;;;;;;;7360;;8600;;8600;;9380;;9740;;9740;;10780;;;;9950;;11450;;13510;14930;8600;9740;11450;10780;
;;;;;;;;;;;;;Tension-klb;;;;;;;;606;;745;;745;;839;;885;;885;;1025;;;;745;;885;;1025;1304;745;885;885;1025;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;7360;;9060;;9060;;10190;;10760;;10760;;12460;;;;9060;;10760;;12460;15860;9060;10760;10760;12460;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;6700;;8300;;8300;;9300;;9800;;9800;;10000;;;;8300;;9800;;10000;10000;8300;9800;9800;10000;
;;35.00;;0.498;6.004;;5.879;;;;10.172;;Colapso-psi;;;;;;;;;;10180;;10180;;11170;;11650;;11650;;13030;;14310;;11150;;13120;;15230;17380;10180;11650;13120;13030;
;;;;;;;;;;;;;Tension-klb;;;;;;;;;;814;;814;;916;;966;;966;;1119;;1272;;814;;966;;1119;1424;814;966;966;1119;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;9960;;9960;;11210;;11830;;11830;;13700;;15560;;9960;;11830;;13700;17430;9960;11830;11830;13700;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;9100;;9100;;10000;;10000;;10000;;10000;;10000;;9100;;10000;;10000;10000;9100;10000;10000;10000;
;;38.00;;0.540;;5.920;;5.795;;;;10.959;;Colapso-psi;;;;;;;;;;11390;;11390;;12810;;13430;;13430;;15130;;16740;;12230;;14690;;16770;19640;11390;13430;14690;15130
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;877;;877;;986;;1041;;1041;;1206;;1370;;877;;1041;;1206;1534;877;1041;1041;1206
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;10800;;10800;;12150;;12830;;12830;;14850;;16880;;10800;;12830;;14850;18900;10800;12830;12830;14850
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;9900;;9900;;10000;;10000;;10000;;10000;;10000;;9900;;10000;;10000;10000;9900;10000;10000;10000
;;42.70;;0.625;;5.750;;5.625;;;;12.517;;Colapso-psi;;;;;;;;;;;;;;14640;;;;15450;;;;;;;;;;;;13010;15450;17840;
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1127;;;;1189;;;;;;;;;;;;1001;1189;1189;
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;14060;;;;14840;;;;;;;;;;;;12500;14840;14840;
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;;;;;;;10000;10000;10000;
;7 5/8;24.00;;0.300;;7.025;;6.900;;;;6.904;;Colapso-psi;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tension-klb;;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;PInterna-psi;;2750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;PPrueba-psi;;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;26.40;;0.328;;6.969;;6.844;;;;7.519;;Colapso-psi;;;;2900;;2900;;3100;;3400;;3400;;3610;;3710;;3710;;;;;;4980;;5220;;5610;6040;3400;3710;5230;3920
;;;;;;;;;;;;;;Tension-klb;;;;414;;414;;489;;602;;602;;677;;714;;714;;;;;;602;;714;;827;1053;602;714;714;827
;;;;;;;;;;;;;;PInterna-psi;;;;4140;;4140;;4890;;6020;;6020;;6780;;7150;;7150;;;;;;6020;;7150;;8280;10540;6020;7150;7150;8280
;;;;;;;;;;;;;;PPrueba-psi;;;;3800;;3800;;4500;;5500;;5500;;6200;;6500;;6500;;;;;;5500;;6500;;7600;9600;5500;6500;6500;7600
;;29.70;;0.375;6.875;;6.750;;;;8.541;;Colapso-psi;;;;;;;;4310;;4790;;4790;;5030;;5130;;5130;;5350;;;;6620;;7300;;7780;8540;4790;5130;7320;5350;
;;;;;;;;;;;;;Tension-klb;;;;;;;;555;;683;;683;;769;;811;;811;;940;;;;683;;811;;940;1196;683;811;811;940;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;5590;;6890;;6890;;7750;;8180;;8180;;9470;;;;6890;;8180;;9470;12050;6890;8180;8180;9470;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;5100;;6300;;6300;;7100;;7500;;7500;;8700;;;;6300;;7500;;8700;10000;6300;7500;7500;8700;
;;33.70;;0.430;6.765;;6.640;;;;9.720;;Colapso-psi;;;;;;;;5720;;6560;;6560;;7050;;7280;;7280;;7870;;;;8310;;9280;;10440;11610;6560;7280;9290;7870;
;;;;;;;;;;;;;Tension-klb;;;;;;;;632;;778;;778;;875;;923;;923;;1069;;;;778;;923;;1069;1361;778;923;923;1069;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;6410;;7900;;7900;;8880;;9380;;9380;;10860;;;;7900;;9380;;10860;13820;7900;9380;9380;10860;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;5900;;7200;;7200;;8100;;8600;;8600;;9900;;;;7200;;8600;;9900;10000;7200;8600;8600;9900;
;;39.00;;0.500;6.625;;6.500;;;;11.192;;Colapso-psi;;;;;;;;;;8820;;8820;;9620;;10000;;10000;;11080;;12060;;10110;;11670;;13810;15250;8820;10000;11680;11080;
;;;;;;;;;;;;;Tension-klb;;;;;;;;;;895;;895;;1007;;1063;;1063;;1231;;1399;;895;;1063;;1231;1567;895;1063;1063;1231;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;9180;;9180;;10330;;10900;;10900;;12620;;14340;;9180;;10900;;12620;16070;9180;10900;10900;12620;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;8400;;8400;;9400;;10000;;10000;;10000;;10000;;8400;;10000;;10000;10000;8400;10000;10000;10000;
;;42.80;;0.562;6.501;;6.376;;;;12.470;;Colapso-psi;;;;;;;;;;10810;;10810;;11890;;12410;;12410;;13930;;15350;;11600;;13790;;15870;18330;10810;12410;13800;13930;
;;;;;;;;;;;;;Tension-klb;;;;;;;;;;998;;998;;1122;;1185;;1185;;1372;;1559;;998;;1185;;1372;1746;998;1185;1185;1372;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;10320;;10320;;11610;;12250;;12250;;14190;;16120;;10320;;12250;;14190;18060;10320;12250;12250;14190;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;9400;;9400;;10000;;10000;;10000;;10000;;10000;;9400;;10000;;10000;10000;9400;10000;10000;10000;
;;45.30;;0.595;;6.435;;6.310;;;;13.141;;Colapso-psi;;;;;;;;;;11510;;11510;;12950;;13670;;13670;;15440;;17100;;12380;;14910;;16980;19950;11510;13670;14990;15440
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;1051;;1051;;1183;;1248;;1248;;1445;;1643;;1051;;1248;;1445;1840;1051;1248;1248;1445
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;10920;;10920;;12290;;12970;;12970;;15020;;17070;;10920;;12970;;15020;19120;10920;12970;12970;15020
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;10000;10000;10000;10000;10000
;;47.10;;0.625;;6.375;;6.250;;;;13.745;;Colapso-psi;;;;;;;;;;12040;;12040;;13540;;14300;;14300;;16550;;18700;;13070;;15910;;17980;20950;12040;14300;15930;16550
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;1100;;1100;;1237;;1306;;1306;;1512;;1718;;1100;;1306;;1512;1924;1100;1306;1306;1512
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;11480;;11480;;12910;;13630;;13630;;15780;;17930;;11480;;13630;;15780;20080;11480;13630;13630;15780
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;;10000;10000;10000;10000;10000;10000
;;51.20;;0.687;;6.251;;6.126;;;;14.974;;Colapso-psi;;;;;;;;;;;;;;14760;;;;15580;;;;;;14530;;18040;;20090;22900;13120;15580;18040;18040
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1348;;;;1423;;;;;;1198;;1423;;1647;2096;1198;1423;1423;1647
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;14190;;;;14980;;;;;;12610;;14980;;17340;22070;12610;14980;14980;17340
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;10000;;10000;;10000;10000;10000;10000;10000;10000
;;55.30;;0.750;;6.125;;6.000;;;;16.199;;Colapso-psi;;;;;;;;;;;;;;15960;;;;16850;;;;;;15980;;20190;;22210;24770;14190;16850;20190;19510
;;;;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;1458;;;;1539;;;;;;1296;;1539;;1782;2268;1296;1539;1539;1782
;;;;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;15490;;;;16350;;;;;;13770;;16350;;18930;24100;13770;16350;16350;18930
;;;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;10000;;;;10000;;;;;;10000;;10000;;10000;10000;10000;10000;10000;10000
;7 3/4;46.10;;0.595;6.560;;6.435;;6.500  13.374;;;Colapso-psi;;11340   11340   12750   13320   13320   15000   16590;;;;;;;;;;;;;;;;;;;;;12150;;14580;;16660;19480;11340;13320;14580;15000;;;
;;;;;;;;;;;;Tension-klb;;;;;;;;;;1070;1070;;1204;;1271;;1271;;1471;;1672;;1070;;1271;;1471;1872;1070;1271;1271;1471;;;
;;;;;;;;;;;;PInterna-psi;;10750   10750   12090   12760   12760   14780   16790;;;;;;;;;;;;;;;;;;;;;10750;;12760;;14780;18810;10750;12760;12760;14780;;;
;;;;;;;;;;;;PPrueba-psi;;;;;;;;;;9800;9800   10000   10000   10000   10000   10000;;;;;;;;;;;;9800;;10000;;10000;10000;9800;10000;10000;10000;;;
;8 5/8;24.00;;0.264;8.097;;7.972;;6.934;;;Colapso-psi;;;;1370;;1370;;1420;;;;;;;;;;;;;;;;;;;;;1430;1430;;;;;
;;;;;;;;;;;;Tension-klb;;;;381;;381;;451;;;;;;;;;;;;;;;;;;;;;555;659;;;;;
