FLUENCIA;;;Kpsi;;40;;55;55;65;80;;80;;90;;95;;95;;110;;125;;80;;95;;110;;140;;80;;95;;95;;110;;;;;;;;;;;
RESISTENCIA;;;Kpsi;;60;;75;95;85;95;;100;;100;;105;;105;;125;;135;;100;;110;;125;;150;;95;;105;;105;;115;;;;;;;;;;;
"TUBO DE REVESTIMIENTO
CASING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D.E.;PESO;;DIMENSIONES;;;;;;;PROPIEDADES MECANICAS;;;;GRADO DE ACERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP.;;"D.I.     DRIFT   DRIFT   AREA
ALT.   TRANS.";;;;;;;;;API;;;;;;;;;;;;;;;;;;;;;;ALTO COLAPSO;;;;;;"RESISTENTE
A LA CORROSION";;;;;;
;pulg;lb/pie;;pulg;;pulg       pulg      pulg      pulg2;;;;;;;;;H40;;J55;;K55;;M65;;L80;;N80;;C90;;C95;;T95;;P110;;Q125;;TAC80;;TAC95   TAC110   TAC140;;;;TRC80;TRC95;TRC95HC;TRC110;;;
;;;;;;;;;;PInterna-psi;;;;3450;;3450;;4080;;5020;5020;;5650;;5970;;5970;;6910;;;;5020;;5970;;6910;8790;5020;5970;5970;6910;;;;;
;;;;;;;;;;PPrueba-psi;;;;2400;;2400;;3700;;4600;4600;;5200;;5500;;5500;;6300;;;;4600;;5500;;6300;8040;4600;5500;5500;6300;;;;;
;;72.00;;0.514;12.347  12.191  12.250  20.768;;;;;Colapso-psi;;;;;;;;;;2670;2670;;2780;;2820;;2820;;2880;;2880;;3660;;3720;;4110;4350;2670;2820;3720;2880;;;;;
;;;;;;;;;;Tension-klb;;;;;;;;;;1661;1661;;1869;;1973;;1973;;2284;;2596;;1661;;1973;;2284;2907;1661;1973;1973;2284;;;;;
;;;;;;;;;;PInterna-psi;;;;;;;;;;5380;5380;;6050;;6390;;6390;;7400;;8410;;5380;;6390;;7400;9420;5380;6390;6390;7400;;;;;
;;;;;;;;;;PPrueba-psi;;;;;;;;;;4900;4900;;5500;;5800;;5800;;6800;;7700;;4900;;5800;;6800;7700;4900;5800;5800;6800;;;;;
;;77.00;;0.550;;12.275  12.119                22.160;;;;;Colapso-psi;;;;;;;;;;3100;;3100;;3270;;3340;;3340;;3490;;3550;;4360;;4580;;4980;5320;3100;3340;4580;3490;;;
;;;;;;;;;;;Tension-klb;;;;;;;;;;1773;;1773;;1994;;2105;;2105;;2438;;2770;;1773;;2105;;2438;3102;1773;2105;2105;2438;;;
;;;;;;;;;;;PInterna-psi;;;;;;;;;;5760;;5760;;6480;;6840;;6840;;7920;;9000;;5750;;6840;;7920;10070;5760;6840;6840;7920;;;
;;;;;;;;;;;PPrueba-psi;;;;;;;;;;5300;;5300;;5900;;6300;;6300;;7200;;8200;;5300;;6300;;7200;9200;5300;6300;6300;7200;;;
;;85.00;;0.608;;12.159  12.003                24.386;;;;;Colapso-psi;;;;;;;;;;3870;;3870;;4060;;4180;;4180;;4480;;4690;;5670;;5970;;6460;7020;3870;4180;5970;4480;;;
;;;;;;;;;;;Tension-klb;;;;;;;;;;1951;;1951;;2195;;2317;;2317;;2682;;3084;;1951;;2317;;2682;3414;1951;2317;2317;2682;;;
;;;;;;;;;;;PInterna-psi;;;;;;;;;;6360;;6360;;7160;;7560;;7560;;8750;;9940;;6360;;7560;;8750;11140;6360;7560;7560;8750;;;
;;;;;;;;;;;PPrueba-psi;;;;;;;;;;5800;;5800;;6500;;6900;;6900;;8000;;9100;;5800;;6900;;8000;10000;5800;6900;6900;8000;;;
;13 5/8;88.20;;0.625;;12.375  12.219                25.525;;;;;Colapso-psi;;2800;;3360;;3360;;3660;;3980;;3980;;4130;;4260;;4260;;4570;;4800;;;;;;;;3980;4260;;4570;;;
;;;;;;;;;;;Tension-klb;;1021;;1404;;1404;;1659;;2042;;2042;;2297;;2425;;2425;;2808;;3191;;;;;;;;2042;2425;;2808;;;
;;;;;;;;;;;PInterna-psi;;3210;;4420;;4420;;5220;;6420;;6420;;7220;;7630;;7630;;8830;;10030;;;;;;;;6420;7630;;8830;;;
;;;;;;;;;;;PPrueba-psi;;2200;;3000;;3000;;4800;;5700;;5700;;6000;;6000;;6000;;6000;;6000;;;;;;;;5700;6000;;6000;;;
;16;65.00;;0.375;;15.250  15.063                18.408;;;;;Colapso-psi;;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;1640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;75.00;;0.438;15.124  14.937                21.414;;;;;Colapso-psi;;;;1020;;1020;;1020;;1020;1020;;;;;;;;1020;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;;1178;;1178;;1392;;1713;1713;;;;;;;;2355;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;;2630;;2630;;3110;;3830;3830;;;;;;;;5270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;;1800;;1800;;2800;;3500;3500;;;;;;;;4800;;;;;;;;;;;;;;;;;;
;;84.00;;0.495;15.010  14.823                24.112;;;;;Colapso-psi;;;;1410;;1410;;1460;;1480;1480;;;;;;;;1480;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;;1326;;1326;;1567;;1929;1929;;;;;;;;2652;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;;2980;;2980;;3520;;4330;4330;;;;;;;;5960;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;;2000;;2000;;3200;;4000;4000;;;;;;;;5400;;;;;;;;;;;;;;;;;;
;;95.00;;0.566;14.868  14.681                27.444;;;;;Colapso-psi;;;;1890;;1890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;;1509;;1509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;;3400;;3400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;;2300;;2300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;109.00;;0.656;14.688  14.501                31.622;;;;;Colapso-psi;;;;2560;;2560;;;;3080;3080;;;;;;;;3470;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Tension-klb;;;;1739;;1739;;;;2530;2530;;;;;;;;3478;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PInterna-psi;;;;3950;;3950;;;;5740;5740;;;;;;;;7890;;;;;;;;;;;;;;;;;;
;;;;;;;;;;PPrueba-psi;;;;2700;;2700;;;;5200;5200;;;;;;;;5400;;;;;;;;;;;;;;;;;;
;;137.90;;0.843;;14.314  14.127                40.141;;;;;Colapso-psi;;;;4490;;4490;;;;5650;;5650;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;;;2208;;2208;;;;3211;;3211;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;;;5070;;5070;;;;7380;;7380;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;;;4600;;4600;;;;5400;;5400;;;;;;;;;;;;;;;;;;;;;;;;
;18 5/8;87.50;;0.435;;17.755  17.568                24.858;;;;;Colapso-psi;;630;;630;;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;994;;1367;;1367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;1630;;2250;;2250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;1100;;1500;;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;121.00;;0.745;;17.135  16.948                41.848;;;;;Colapso-psi;;2110;;2400;;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;1674;;2302;;2302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;2800;;3850;;3850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;1900;;2600;;2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;20;94.00;;0.438;;19.124  18.937                26.918;;;;;Colapso-psi;;520;;520;;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;1077;;1480;;1480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;1530;;2110;;2110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;1100;;1400;;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;106.50;;0.500    19.000  18.813                30.631;;;;;;;Colapso-psi;;;770        770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;;1685     1685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;;2410     2410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;;1600     1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;133.00;;0.635    18.730  18.543                38.632;;;;;;;Colapso-psi;;;1500     1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Tension-klb;;;2125     2125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PInterna-psi;;;3060     3060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PPrueba-psi;;;2100     2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
