MD [m],Inc [°],Azi [°],TVD [m],HD [m],N+/S- [m],E+/W- [m],Dogleg [°/30m]
2374.25,0.0,0.0,2374.25,-0.0,-0.0,-0.0,0.0
2386.44,0.0,0.0,2386.44,0.0,0.0,0.0,0.0
2398.63,0.0,0.0,2398.63,-0.0,-0.0,-0.0,0.0
2410.82,0.0,0.0,2410.82,0.0,0.0,0.0,0.0
2423.02,0.0,0.0,2423.02,-0.0,-0.0,-0.0,0.0
2435.21,0.0,0.0,2435.21,0.0,0.0,0.0,0.0
2447.4,0.0,0.0,2447.4,-0.0,-0.0,-0.0,0.0
2459.59,0.0,0.0,2459.59,0.0,0.0,0.0,0.0
2471.78,0.0,0.0,2471.78,-0.0,-0.0,-0.0,0.0
2483.98,0.0,0.0,2483.98,0.0,0.0,0.0,0.0
2496.17,0.0,0.0,2496.17,-0.0,-0.0,-0.0,0.0
2508.36,0.0,0.0,2508.36,0.0,0.0,0.0,0.0
2520.55,0.0,0.0,2520.55,-0.0,-0.0,-0.0,0.0
2532.74,0.0,0.0,2532.74,0.0,0.0,0.0,0.0
2544.94,0.0,0.0,2544.94,-0.0,-0.0,-0.0,0.0
2557.13,0.0,0.0,2557.13,0.0,0.0,0.0,0.0
2569.32,0.0,0.0,2569.32,-0.0,-0.0,-0.0,0.0
2581.51,0.0,0.0,2581.51,0.0,0.0,0.0,0.0
2593.7,0.0,0.0,2593.7,-0.0,-0.0,-0.0,0.0
2605.9,0.0,0.0,2605.9,0.0,0.0,0.0,0.0
2618.09,0.0,0.0,2618.09,-0.0,-0.0,-0.0,0.0
2630.28,0.0,0.0,2630.28,0.0,0.0,0.0,0.0
2642.47,0.0,0.0,2642.47,-0.0,-0.0,-0.0,0.0
2654.66,0.0,0.0,2654.66,0.0,0.0,0.0,0.0
2666.86,0.0,0.0,2666.86,-0.0,-0.0,-0.0,0.0
2679.05,0.0,0.0,2679.05,0.0,0.0,0.0,0.0
2691.24,0.0,0.0,2691.24,-0.0,-0.0,-0.0,0.0
2703.43,0.0,0.0,2703.43,0.0,0.0,0.0,0.0
2715.62,0.0,0.0,2715.62,-0.0,-0.0,-0.0,0.0
2727.82,0.0,0.0,2727.82,0.0,0.0,0.0,0.0
2740.01,0.0,0.0,2740.01,-0.0,-0.0,-0.0,0.0
2752.2,0.0,0.0,2752.2,0.0,0.0,0.0,0.0
2764.39,0.0,0.0,2764.39,-0.0,-0.0,-0.0,0.0
2776.58,0.0,0.0,2776.58,0.0,0.0,0.0,0.0
2788.78,0.0,0.0,2788.78,-0.0,-0.0,-0.0,0.0
2800.97,0.0,0.0,2800.97,0.0,0.0,0.0,0.0
2813.16,0.0,0.0,2813.16,-0.0,-0.0,-0.0,0.0
2825.35,0.0,0.0,2825.35,0.0,0.0,0.0,0.0
2837.54,0.0,0.0,2837.54,-0.0,-0.0,-0.0,0.0
2849.74,0.0,0.0,2849.74,0.0,0.0,0.0,0.0
2861.93,0.0,0.0,2861.93,-0.0,-0.0,-0.0,0.0
2874.12,0.0,0.0,2874.12,0.0,0.0,0.0,0.0
2886.31,0.0,0.0,2886.31,-0.0,-0.0,-0.0,0.0
2898.5,0.0,0.0,2898.5,0.0,0.0,0.0,0.0
2910.7,0.0,0.0,2910.7,-0.0,-0.0,-0.0,0.0
2922.89,0.0,0.0,2922.89,0.0,0.0,0.0,0.0
2935.08,0.0,0.0,2935.08,-0.0,-0.0,-0.0,0.0
2947.27,0.0,0.0,2947.27,0.0,0.0,0.0,0.0
2959.46,0.0,0.0,2959.46,-0.0,-0.0,-0.0,0.0
2971.66,0.0,0.0,2971.66,0.0,0.0,0.0,0.0
2983.85,0.0,0.0,2983.85,-0.0,-0.0,-0.0,0.0
2996.04,0.0,0.0,2996.04,0.0,0.0,0.0,0.0
3008.23,0.0,0.0,3008.23,-0.0,-0.0,-0.0,0.0
3020.42,0.0,0.0,3020.42,0.0,0.0,0.0,0.01
3032.62,0.0,0.0,3032.62,-0.0,-0.0,-0.0,0.03
3044.81,0.0,0.0,3044.81,0.0,0.0,0.0,0.1
3057.0,0.0,0.0,3057.0,-0.0,-0.0,-0.0,0.38
3063.92,0.11,5.79,3063.92,0.0,0.0,0.0,0.3
3095.78,0.13,89.06,3095.78,0.03,-0.01,0.02,1.25
3123.44,2.21,18.87,3123.43,0.57,0.47,0.22,1.91
3150.9,2.95,23.36,3150.86,1.86,1.68,0.68,0.49
3181.99,2.84,23.79,3181.91,3.51,3.18,1.35,1.31
3210.09,1.1,17.66,3209.99,4.48,4.08,1.72,1.49
3238.51,0.63,11.36,3238.41,4.84,4.44,1.8,0.05
3267.29,0.79,16.4,3267.19,5.19,4.77,1.89,0.42
3295.93,0.83,25.26,3295.82,5.62,5.21,2.02,1.0
3324.88,0.73,116.33,3324.77,5.99,5.27,2.28,0.27
3353.85,1.04,29.01,3353.74,6.46,5.4,2.6,0.74
3381.82,0.31,348.0,3381.7,6.8,5.74,2.71,0.8
3411.12,0.33,310.11,3411.0,6.93,5.84,2.61,0.15
3438.79,0.44,300.2,3438.67,7.13,5.95,2.46,0.01
3467.58,0.35,300.11,3467.46,7.33,6.05,2.28,0.1
3496.14,0.32,282.5,3496.02,7.5,6.11,2.13,0.12
3524.71,0.23,298.77,3524.59,7.63,6.14,2.0,0.26
3553.11,0.45,343.6,3552.99,7.8,6.28,1.91,0.43
3582.45,0.46,12.41,3582.33,8.02,6.51,1.94,0.64
3611.58,1.0,308.47,3611.46,8.39,6.78,1.74,0.24
3640.03,0.81,24.3,3639.9,8.86,7.12,1.59,0.93
3668.71,0.83,32.26,3668.58,9.26,7.49,1.83,0.04
3698.18,0.91,34.2,3698.05,9.71,7.86,2.07,0.04
3725.54,0.92,35.65,3725.4,10.14,8.22,2.32,0.08
3752.56,1.15,36.76,3752.42,10.62,8.6,2.6,0.5
3783.41,1.26,41.85,3783.26,11.31,9.14,3.06,0.97
3812.93,0.49,294.64,3812.78,11.77,9.42,3.17,0.88
3835.2,0.55,293.89,3835.05,11.93,9.52,2.95,1.04
3865.72,2.71,174.03,3865.56,12.68,9.0,2.86,4.09
3894.78,6.64,168.18,3894.51,15.04,6.65,3.29,3.85
3922.66,9.52,167.58,3922.11,19.01,2.77,4.13,2.49
3951.41,11.68,167.93,3950.37,24.3,-2.39,5.27,2.47
3979.75,14.28,171.56,3977.98,30.65,-8.64,6.4,2.83
4008.37,16.65,173.46,4005.56,38.3,-16.22,7.37,2.43
4035.87,18.84,173.89,4031.75,46.68,-24.56,8.28,2.35
4067.03,21.22,173.41,4061.02,57.36,-35.17,9.45,2.22
4094.0,23.22,172.62,4085.99,67.55,-45.29,10.69,2.41
4123.65,25.42,171.58,4112.99,79.79,-57.41,12.38,1.66
4152.54,26.66,171.45,4138.95,92.47,-69.95,14.26,1.59
4180.56,28.58,171.27,4163.78,105.45,-82.78,16.21,2.01
4209.59,30.15,171.03,4189.06,119.71,-96.87,18.4,1.28
4235.0,31.0,171.0,4210.93,132.65,-109.65,20.43,0.76
